编号,发帖人_编号,题目,题目字数,内容,内容字数,昵称,车系,地点,时间间隔,空间密度,空间评分,动力密度,动力评分,操控密度,操控评分,能耗密度,能耗评分,舒适性密度,舒适性评分,外观密度,外观评分,内饰密度,内饰评分,性价比密度,性价比评分,视频数,上下班,购物,接送小孩,自驾游,跑长途,商务差旅,越野,约会,赛车,拉货,网约车,组车队,改装玩车,支持,浏览,评论,里程值,精华帖,主贴,关注,粉丝,车辆匹配
508,74446632,帕美系列中最具性价比的车型,13,4E的动力很足，特别市区低速的时候，一脚油门有很强的推背感。E-hold模式油耗也很低，甚至比家里的老S80都低很多。作为一款2.4吨的车，开起来非常灵活。。低速的顿挫感很强（纯电行驶没有顿挫），另外刹车踩着不怎么舒服，可能因为能量回收的关系，刹车力度不线性。。空间一般般吧，因为行政没有满意的现车所以买的标轴。我191的人坐进去也算宽敞，但是后排就有点挤了。。动力很足，随叫随到，因为电机的关系这车涡轮迟滞很小，S+几乎就没有了。另外保时捷弹射起步绝对的名副其实的厉害，怎么弹都不会坏的变速箱，700扭矩起步全力输出能闪到脖子。。保时捷的操控真的很棒很棒，完美支持你做出各种骚动作，地盘降低后高速上150 160时快速来回变道都没问题。我印象最深的是有一次主干道行驶，当时应该70km左右的速度，有个不知道怎么考的驾照的车主突然从旁边窜进来，完全不看车，相隔6-7米的情况下来不及刹车打了个超大S，整车完全没有失控和打滑。。刚提车因为一直用S+充电所以油耗普遍28-29，之后学会了E-Change充电，和纯电混开能到12.5左右。到现在知道了E-hold模式，市区堵车8L左右刚提车的时候…这还是降下来了，正常29.9爆表E-hold模式，这个模式最低可以到7.5左右，踩油门开发动机不踩即关。非常省油省电。没有老S80舒服，地盘偏硬，不过可以接受，毕竟这种级别差也差不到哪去。最烦人的是发动机启动时1-2档3-2档的顿挫，整个车顿一下。很影响心情。空调：空调选装的4区制冷很快。夏天暴晒后也能很快把车内温度降下来。谁说这车空调质量不好的…车内噪音：关了发动机噪音很小，隔音略低于总裁，只有一点点细微的差距。但是双方都开发动机的情况下总裁会比4E吵很多。。新帕的设计师是不是加鸡腿了啊，这车尾也太帅了吧，特别turbo的大尾翼加上去，帅炸呀。新款帕和老款帕简直就是两款车了。这车尾比老款不知道好看多少倍。选的波尔多红真皮内饰，另外自己买了套全包围脚垫，质感很不错。中控也还算得上有科技感，挺漂亮的，特别和总裁比一比就显得非常出色了，不过皮革方面个人感觉总裁会更胜一筹，摸起来更舒服。。混帕性价比超高啊有没有，综合马力464p，标配sc组件和20寸大轮毂等等普通车型需要选装的东西只需要20万打包带走。。本来想买高功率版的总裁的，现在总裁优惠贼大，但是败给了总裁的声浪，好听是好听，坐后排的人受不了，试驾的时候我爸坐在后排呆了20几分钟吧，下车后说吵的头疼。于是直奔保时捷4S买了4E,1043,1,Panamera新能源,厦门?,142 ,49,4,84,5,146,5,142,5,173,3,73,5,89,5,58,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,34,84910,60,3730,0,1,6,5,0
509,82443991,低调与狂野并存,7,帅气，高速油耗超低！市区低调内敛回头率高！。最不满意就是修理费太高????。我的是标轴版！后面选了三座！空间非常满意滴后备厢容积：后备厢拿掉充电器包，就宽敞点啦！深度一般，这种车也只能这样了，不是旅行版！保时捷自我感觉他不考虑这些问题的车内储物能力：关于车内的存储那真的没啥可说的，自己tb买点来装饰下吧！家人乘坐评价：选了后排三座，女儿就喜欢坐中间！后排两座感觉太浪费啦。330马力，全时四驱！实测4.4破百！大爱跑高速：高速那就是一匹脱缰的野马！够狂够浪！大尾翼帅到没朋友。牛逼到打那是那方向盘操控感：毫无虚位，精准到你敢想象！就喜欢他的超控性四驱稳定性：年后在陕西进湖北高速上道具结冰！实在话20寸轮毂加四驱真的稳！我前面的车都不敢跑！前年开的宝马遇到结冰踩刹车直接摆尾！吓死宝宝了！老婆也吓个半死！所以今天帕拉梅拉直接爸踩没问题！这就是论四驱的重要性！本人亲测，真实有效！。实际电池49公里，高速5.9 市区都是用电多，很少开市区充电：充电4小时满，在杭州1.6元的充电器下，16块充满49㎞可以跑！！！。爱保时捷不是爱他的舒适性，而是狂野，但是这款四门轿跑实现了超控和舒适性都很好！车内噪音：隔音效果真心不错！这是不是个好事，有时候被轻擦了也不知道空调：牛逼到不行的空调设计中控处就是家里空调出风口设计！选了四区独立空调！都是钱钱钱！入坑不浅悬架减震舒适性：听说S500过减速带就像坐沙发，没试过，但是帕拉梅拉没有那样的感觉，个人绝得还不错座椅舒适性：驾驶位太空椅的感觉两边环抱回来，舒适性比较强，选了座椅加热，没选座椅通风，冬天真心不错。两个字太帅！大肥臀真的美到不可言喻，加上保时捷矩形动态大灯，青蛙车头，18款改的真的太漂亮了！市区尾翼开起来真的回头率太高！！！！！车灯设计：选了30000多的保时捷矩形动态大灯！真不是吹牛皮动态大灯安全系数提高了很多！转向灯打那动态大灯照哪儿车身及车轮：青蛙脸！肥美臀！20寸轮毂，真的没话说，停在哪儿都是一道靓丽的风景线！路人都要回头看看！嘴里念叨到保时捷还有电动车了！哈哈哈！！！！钣金车漆：被划伤了好几个地方，真心心疼啊！抛光抛了下！师傅说保时捷漆太硬了！！！！！！！灯光配置：保时捷矩形动态大灯上面有说过。真的买保时捷必选动态大灯。选了67000波尔多红就是爱他的骚气，选择骚红内饰是有目的的，拍照真的超有质感啦！！！！！多媒体：柏林之声十几万太贵了果断放弃，选了boes环绕音响！！对于我来说很不错了！喜欢车里听歌的可以选柏林之声音响那效果就更帅了！！！！内饰材质：中控12寸大屏爱死了，特别是新款的触摸屏，真的是指纹收集器！贴了膜还一样的一点灰看起来就特别脏，还好配了一块膜！特有科技感的设计！触动感很灵活！！！内饰设计风格：钢琴烤漆太容易刮花， TB上买个膜贴起来就好多了，中控真的太有科技感！！！。品牌在这里！保时捷没啥性价比一车一配置！选配真的无深无浅！但是个人建议选点实用的。低调奢华，有内涵！回头率百分百外观和内里太吸引人！肥臀太美！！！,1256,1,Panamera新能源,绍兴?,195 ,148,5,51,5,151,5,90,5,217,5,270,4,236,5,40,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,42,337860,76,6950,0,2,6,13,1
510,4412195,整体很不错,5,1.外观内饰好看，实车比相片有质感。 2.开起来动力很强劲，慢下来的时候纯电悠闲的走，想要动力s模式可以爽一把。尤其是电力加持低扭相当足，甚至5档缓缓踩油门都很有劲的推着你走，感觉相当从容。3.操控没怎么试，应该差不到哪去，侧倾控制还可以。。1.没有一个普通的以发动机为主的模式，e-hold一松油门发动机就关闭了，再踩又启动。感觉有点伤车啊。 2.混动车重了些，尤其低速掉头就能感觉出车重2.2吨，比a8、x5 还重。。买pa一定买标轴，正常都都几辆车换，帕一定是买来自己开着舒服，空间没必要纠结。不错，4秒左右。听说刷ecu能到600p。轿车里算很不错的，跟跑车肯定没法比，混动车轻些就完美了。开的还少，能耗肯定比普通版优势很大，一定要有充电桩才能发挥最大优势。舒适性还不错，悬挂很有韧性，用20寸轮胎时其实不比老一代的d级车差。换21后差别挺明显的，硬很多，路感差挺多的。。普通版选4出、21轮后外观95分，再改三段尾翼、turbo前脸后完美，100分。。内饰85，前几年看95，现在其他品牌的内饰设计也慢慢跟上了。。性价比一般，都起码20万以上的选装，但是让人觉得物有所值得。。外观内饰好看，动力强，保时捷品牌优势。。,513,1,Panamera新能源,广州?,78 ,38,4,20,5,27,5,33,5,56,4,40,5,30,5,30,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5769,0,27210,0,81,54,71,0
511,191566723,用车1个月感受,7,舒适性和豪华性已经达到要求。动力方面还过的去，提车后去试驾了911，感受上还是存在差距的。目前没有工作也没找女朋友可能选择911更合适。优点是实用性比911好一些，偶尔带一下爷爷奶奶911就不太好意思了。。1.每次刚启动空调大功率工作的时候方向盘会剧烈振动，车停下来又会停止，驾驶体验略有影响 2.刚拿到驾照2个多月，试驾的时候觉得各方面都合适，去过各种地方后感觉车还是长了一点，停车和通过性对于驾驶技术比较差的人来说有点笨重。理想车长度应该是4米7左右。。空间只能说够用，后排经常坐人可以选择加长版本。需要空间有更好的车型选择。动力超越大部分车绝对足够用了，刹车略有钝挫感之外都比较满意。打方向盘的时车头给人比较沉的感觉，底盘比较稳健，操控的时候比较精准不发飘。需要每天充电才能省油，内燃机平时也能充电，市区用电开，不拥堵路段用油开。。座椅偏硬，舒适性可以选择奔驰s，7系之类更成熟稳重的车。比较适合年轻有为的人群，年轻时尚偏运动风。内饰一定要选择红色，档次比黑色好太多了。。对比了美国的价格，标轴混动的价格应该是性价比最高的一款。一开始想买跑车，但是大家都说跑车失去新鲜感就会后悔，于是做了一些牺牲，选择了实用型强一点的轿跑。(下一辆还是有想买跑车的想法选车过程中考虑过特斯拉s，宝马8系，奔驰gt，帕拉梅拉，帕拉梅拉新能源，taycan。(suv车型目前不喜欢没考虑过，老妈让我买卡宴)。 特斯拉当时6月份去看的，没有现车定制需要3个月，并且问了身边的人都不看好特斯拉放弃了。奔驰gt只是网上看看没去过4s店。 宝马8系一开始觉得轮毅和水晶挡干很帅但是没找到想要的高配版本有点可惜放弃了。帕美和taycan一开始先看重了taycan的外形，但家里第一辆不让买电动车后面就没了解过了。在看车过程中销售无意推荐了混动的帕美，在试驾之后感觉性价比很高，自带sc，4驱，20寸车轮，动力感受比汽油更加强劲。优惠力度还比汽油大，最后总算是定下来了。,822,1,Panamera新能源,上海?,66 ,35,3,29,4,36,4,36,4,27,4,20,5,20,4,27,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2788,0,4120,0,0,15,22,1
512,71702652,D级混动车里最好玩的一款了,13,综合动力足，标准配置高，基本满足对用车场景的各种需求。市面常见的D级车里也没有哪款比它更好玩了。。保时捷18年到现在都不给帕梅换装PCM5.0，依旧是PCM4.1，没有无线Carplay，响应速度略卡顿，驾驶辅助功能也没有卡宴和macan全，其他还行。。混动版后备箱由于电池的缘故少了100升，客舱内储物格也比较少，好在后排可以4/6放倒应急。2.3吨5米2的长车百公里加速能到4秒多很够了。车涯上有人跑到3秒8，可见潜力十足。。选配后桥转向后转弯半径比之前开的E还要小一点，车道调头一把过。高速上120巡航也十分稳定，感觉和E开80差不多。。看图说话不解释，太香了。用油充电大概高速12市区15，想想462匹的动力也值了。。虽然悬挂相对会比较硬，但是过坑过减速带干脆利落，很有信心，喜欢这种感觉。隔音完全符合D级车水平，如果选配隔音玻璃会更加棒。。大型四门掀背为什么帕梅变成街车，不需要理由。。为了避税没选全真皮内饰，部分真皮内饰的质感对我来说也足够使用，打算开个几年再改内饰。保时捷从这代帕梅开始的内饰设计相当成功，而且我更喜欢这一代的仪表盘布局和方向盘以及SC旋钮造型，中期改款要换成992同款方向盘还稍微有点遗憾。车机的性能如前文所说有点没跟上潮流，希望后期能有改装方案。。相比燃油版标配的配置就值回差价，只有十周年可以一战，可惜国内没有混动十周年版不然肯定选了。出于实用目的选配了：HUD、后桥转向、带交通拥塞辅助的ACC，盲区辅助，矩阵大灯，BOSE音响，总共18万左右。车道保持有了矩阵大灯可以刷，又省了点选配钱。。开习惯了传统行政车，想试试不一样的感觉。,685,1,Panamera新能源,东莞?南城区,74 ,44,4,42,5,56,5,40,5,61,5,22,5,142,4,123,5,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,5080,0,6610,0,4,6,17,1
513,93754780,曾经考虑过五菱，也想过宝沃，但最终还是选择了破鞋！,25,所谓始于颜值！这代帕拉梅拉可谓是颜值爆表，让我有兴趣进一步在汽车之家深入了解这个品牌，这款车型。最终线下直接去了破鞋4s店试驾后，直接下定。。车重，车宽，底盘偏矮，坐姿偏低，等待时间太长，遇上国五改国六，时间长达一年！。前排空间一流，后排由于平时没人坐，选的标轴，所以只能说够用，真和行政级别车型对比就太局促了。开篇入个镜中间电磁炉操作台很宽。目前三千公里，没有尝试鸡血模式。但这台双涡轮2.9的发动机带这台2.5吨的大车，表现已经很优秀了，可以说s档模式怎么踩怎么有。纯电模式表现稍弱，且满电只能跑四十公里左右。混动模式动力日常使用动力完全够了，且油耗很友好。满电状态显示四十公里续航四个模式可供选择，可通过sc组件和中控面板选择。精准，指哪儿打哪儿，打方向盘力度刚合适，底盘很扎实，动力源源不断输出，综合起来，高速驾驶很有信心，非常容易超速。需要注意??这台发动机，爱了！。纯电模式续航里程有限，一般混动模式，综合油耗9个左右。s档油耗综合17个左右。s+没怎么试过。估计过20。电动、混动模式的悬挂舒适性还行，s模式悬挂自动切换为运动模式，偏硬。不适合长途驾驶悬挂有三个高度档位，可通过中控台选择。选择后前轮先升降，后轮再升降。S+模式悬挂默认为降低。。外观就不多说了，这应该是这代帕拉梅拉卖得好的最主要原因。这个角度是不是很像甲壳虫？邻居的刚好是老款，个人觉得屁股太过于饱满圆润，显得油腻。老款的屁股配上一体式尾翼，加上贯穿式尾灯。爱了！。这个级别的车内饰应该是没什么可说的了，应该是这个级别里挺出色的车型了。个人觉得比起上代一排排满满的按钮，这代的电磁炉触控板好看了很多这是第一台玛莎拉红内的方向盘，配上我的小万国还算协调。夜晚的内饰还算中规中矩，氛围灯比起奔驰宝马奥迪的夜店模式，简直弱爆了。哈哈。怎么说呢，对于我来说性价比还算不错，只是选配件价格有点坑了点。我这么理性的消费者都轻轻松松选配出了一台奥迪A4....我太难了！??这个银光绿的大卡钳，我的最爱！小尾翼是否实用大多数人都不知道，主要是骚气。。想考虑一款新能源汽车，一方面环保，另一方面上绿牌在市区不限行，会方便很多。最开始考虑过宝马七系新能源，由于刚换代，还没出来，奔驰s新能源我开太容易被认为是偷开老爸的车出门。奥迪不考虑，越野新能源不考虑。纯电新能源我不考虑，总觉得没有发动机的车没有灵魂，心里没底。于是只剩下帕拉梅拉。,1000,1,Panamera新能源,成都?,149 ,61,4,144,5,71,5,52,5,87,4,93,5,130,5,103,4,0,1,1,1,0,0,0,0,1,0,1,0,0,0,6,12411,7,13010,0,8,126,51,0
514,57560312,18款帕拉梅拉油电混,10,动力十足（弹射起飞 飞一般的感觉） 。中控显示屏（科技感十足 功能挺多的 什么都能在显示屏上调节）一开始不好上手 熟悉了还好。外观很帅 回头率很高（turbo轮毂是重中之重）。绿牌（号段好 还不限号）。要是没有充电位 挺费油的 可能是新车的原因 200km了 20个油左右下不来（车一直没冲电 本人没有充电的位置）不过可以用油给发电机充电 不用担心车会没电。苹果系统连接蓝牙后 微信的语音没有声音 其他的声音都有 联系了4S 说是版本问题 等下次更新吧 每次听朋友发来的语音都是关了蓝牙听（不是视频聊天的那个语音聊天 就是普通的语音）。后排空间 有点小 我这个没选配后排的娱乐 所以唯一的按键就是开关天窗（汗颜）。。空间的话 后备箱很大 后座空间小了点 不过还可以 对空间有要求的可以买加长版。弹射起步 SC套件 20秒真男人 S+一开 这动力不言而喻。保时捷操控真的没得挑。毕竟新能源汽车 有充电位 天天充电 省油的很。这车都是自己开 谁注重舒适性。奔驰新出的AMG GT53 没这个好看。整体挺好。性价比极高。动力啊 发电机有100多匹的马力 百公里加速4.6秒 傲人的战绩 4S才4.4秒 GTS4.1秒。外观好看 比较年轻。中控科技感十足 优点还是很多的,531,1,Panamera新能源,唐山?,24 ,63,4,29,5,10,5,22,4,14,4,19,5,4,4,5,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,17,44911,20,4730,0,0,3,0,1
515,9680712,有电猛如虎，无电二百五,11,省油，提速快，马力大，配置高。电机新车时到车有顿挫，几天后消失。179高，前后正常位置都很舒服，不能和S比，但是绝对够，宽是够宽了带钥匙记忆，能锁定包括不限于灯光，座椅，方向盘位置！后排两座，可选三座，意义不大，还是两座合适！。有电多100多匹马力，不是盖的，20秒真男人模式下去，炒鸡爽。PDK非常牛，特别是保时捷的换挡拨片，逻辑非常好，自己会切换到自定，需要手动速度非常灵敏！自己体会。有电零油耗，无电自动模式能到7.6左右油耗，因为逻辑是滑行和低于10km速度发动机均停止运行！。有空气悬挂，三段高中低，加上前275后315的胎，非常舒服！。满分，真心这一代算是巅峰！比上一代不知道好到哪去了！基本颜值无死角！记得选上SD包围，完美！。没选红内，十个新帕9个红！算咯。选配太多，大多价格蛮坑，每一样都觉得还好，多选几个简直遭不住！选装配置：3.3的矩阵大灯一定选，可以刷出车道保持非常好用！开高速超级亮！音响bose，氛围灯，红色安全带、碳纤维方向盘、轮毂，SD包围，亮黑饰条，天窗，空调等等。对比了很多车，卡宴，路虎什么的都pass，超级想买G，可惜加价太过分！好的，我知道这些都是suv，轿车同类型就看了cls，可惜奔驰新一代改残了，A7完全不在一个档次上！AMG GT四门版当时没有，现在上了对比了我还是觉得保时捷更牛，毕竟PDK不说吹的，SC组件和20秒真男人模式也不??奔驰比的了的！AMG是很牛，可惜，我已经有台，暴躁归暴躁，到这个价位我觉得更应该感受下保时捷！,640,1,Panamera新能源,成都?,98 ,81,4,30,5,49,5,47,5,30,5,46,3,15,5,112,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,51,85334,44,4750,2,12,7,94,1
516,86458790,就还行吧,4,车子外观还挺好看的，比较年轻，仪表盘非常的好看，算是最喜欢了，再就是从中间后视镜看后排座椅非常的好看。主要喜欢外观，其次是动力和驾驶体验。开过几次200+，车子感觉很稳，贴地飞行哈哈。不满意的地方有挺多的。没有选自适应巡航，没选后轮转向等等。另外车子的视野非常的差，前后左右看的都不清楚。方向盘握感挺奇怪的，属于那种比较扁平的感觉，习惯了之后还是蛮好的。后排座椅的空间聊胜于无，基本没做过人，根本就不算能做人的座位了，完全就是煎熬。。现在完全当作两座车来使用，后排根本不能做人。这个价位来说还不错了，响应速度快，先电然后油介入。暴力驾驶感觉很踏实，日常代步比较不舒服，变速箱换挡顿挫。还好吧，暴力驾驶20L左右、买来从来没充过电，上下班代步大概16L。本身也不是什么舒适车款，座椅很硬，时间长了腰疼。好看，后半部分尤为好看，建议选择浅颜色，线条更突出。内饰选了 玛莎拉红。最好。但灰色内饰更好看。这个价位就没什么性价比可言了，喜欢就买了试试。。之前看了总裁和s。不太适合我的年纪，后来感觉玛莎拉红内饰很喜欢，就定了。,458,1,Panamera新能源,北京?,383 ,21,3,24,4,27,3,33,5,23,3,25,5,21,5,23,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4558,5,1460,0,4,10,11,1
517,96923439,给自己的大礼物,7,提速还是可以的，毕竟现在的道路也开不快，混动也比基础款01快1秒，操控也还可以，毕竟这么大车不能指望太高，颜值和内饰是4门车这个价位区间无敌了。停车不方便，比普通车宽，再非要说不满意的话内饰容易留指纹。买这车也不是冲着乘坐舒适和储物空间大，基本够用。提速还是满意的，比较现在的道路开不快，油门深踩还是蛮给力的。高速变道还是很自信的，转向还是很清晰，路感也很清晰。因为是混动所以能耗是根据你有没有经常充电，可以5油耗，也可以是20油耗。基本都是我开，开车的人短程还是蛮舒适的，坐车的应该一般，座椅偏硬，隔音还可以。外观是这个车最让人有购买欲望的地方，这代改的很不错，比上一代更像一辆跑车。内饰因为选装了全真皮感觉确实可以的蛮细腻，但是控制台到处都能留指纹。选配太贵了，看什么都想选，想想钱，最后只能放弃了一些，最终选了40万的配置还是蛮心痛的。喜欢就买了，给自己这几年的辛苦一个犒劳！,391,1,Panamera新能源,上海?,107 ,23,4,29,5,25,5,35,5,38,4,36,5,33,5,43,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,7708,11,41120,0,5,32,50,0
518,63035567,性价比最高的轿跑,8,外观看起来更运动 车身的线条优美 特别是尾部 内饰科技感很强 所有操作基本上都可以在触摸屏上完成 性价比高 动力强 最主要的是混动 在堵车的时候可以用电 很舒服。座椅比较硬 开一个半小时就会累了 偶尔刹车的时候有顿挫感 只能座4人。本人180 调整到舒适位置后 后排也有充足空间 储物空间一般 顶多两个25寸箱子吧。动力很强 加上电机加持 比一般的4要强悍。操控就不说了保时捷。感觉比较吃油 不充电的话 油耗很高 1000公里加两次了。一般。完美。完美。巨高。混合动力加上保时捷的质量保证外观酷炫,248,1,Panamera新能源,福州?,77 ,41,4,20,5,9,5,28,3,2,4,2,5,2,5,2,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7,30078,2,4570,0,3,15,14,1
519,52192172,还不错的小帕,6,都不错吧，各方面，外观，动力，内饰，做的都不错！。朋友的车遇到过无缘无故屏幕会黑屏.死机。 非要说的话我觉得就是纯电模式续航能力在强点就好了！。行政版的空间还是比较理想的！。没的说，各种模式可以互换开，超车没问题，还有声浪！。指哪打哪，还可以！。可以提升纯电续航就好了，在市区纯油模式下9-13个油。舒适性自然比不了奔驰了，不过也能接受，还是不错的！。外观没的说，萝卜白菜各有所爱，喜欢大青蛙没理由，**利器！。内饰我觉得可以给满分，是真的好看。。当然比跑车性价比高啦，4座，可以接送孩子，上下班，买菜，日常生活都还ok！。喜欢保时捷的外观,270,1,Panamera新能源,北京?,154 ,14,4,25,5,9,5,26,4,25,4,29,5,17,5,37,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,46513,9,3460,0,0,5,8,1
520,18630399,圆梦旅行车,5,动力随叫随到，最满意的是提车几天后跑了一次黄山泰州来回，回程服务区加油站关闭，油电混用居然撑到家了，还多出很多油没用完，庆幸提了混动。。低速顿挫确实明显，没有放手机的地方，再就是副驾驶开门的缝隙居然被翼子板磕掉一块漆。再就是一个多月后发现导航定位超级不准，去了4s检查才发现当时送的行车记录仪影响定位了，拆了重接就好，不知道还会不会发生这种情况。。吐槽下，手机真的没有地方摆，连个carplay还特意买了根15cm的数据线、不然扶手箱都放不下。乘坐空间：173坐前面很舒服，后排有点拥挤，不过平时也就女儿坐。不过开时间久了座椅有点硬不舒服，现车没选到按摩座椅。。随叫随到，昨天试了下s+，一脚油门脖子差点给我甩掉。满分??，高速不知不觉就170，随便怎么变道超车都没有那种飘飘的感觉，可能跟地盘自动降低有关。。每次启动都是e模式，经常忘了换，不过有孩子在车上这样开也没什么不好。就一次在高速上电用完后切发动机有个顿挫，挺不舒服，平时切换倒没什么感觉。。空调还挺给劲，座椅通风夏天感觉挺强烈，秋天一般般。坐久了不舒服，脖子也靠不到头枕。弄完了定位准了。外观满分，一直中意旅行车，当时考虑的rs4，因为没办法选择座椅通风就放弃了，选择了这款。卡钳挺大，看着很漂亮接孩子时随便拍的最爱的就是这个尾灯，夜间辨识度超高。选配了黑红内饰，当时看车的时候我妈坐进去一看就说这内饰看起来就比bba高级，我只能告诉她不选真皮内饰都一样。去黄山路上试了下sc，当手机支架没毛病贴了膜还这么脏就这个门，被翼子板磕掉一块。买这个车就不谈性价比了，要性价比肯定选rs4啊。之前考虑的是迈巴赫s和燃油st，但是老婆跟我都比较中意旅行版，s自己开有点太商务。当时全国找车，合适的配置只有这辆混动的，9月10号才到港，3月生产的。,749,1,Panamera新能源,无锡?,74 ,106,3,25,5,47,5,70,5,48,3,79,5,93,5,23,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,8559,5,7740,0,7,24,33,1
521,25486083,混动模式动力强劲，纯电模式适合在城区内堵车时开,23,纯电模式很安静 在市区道路堵车跟车时很舒适很安静，混动模式在高速道路动力随叫随到，扎实的底盘带给驾驶者极大的信心。。地盘偏硬，在路面不佳情况下舒适感稍差，该车适合在城区或高速道路行驶。内部空间能满足平时乘用，后排腿部空间满意，唯一缺点：储物空间太少，除了前后中央扶手箱有四个杯座。。60公里/小时以下动力表现一般，超过这个速度才是真正展现保时捷爱家本领-PDK变速箱的强大。整体操控10分，底盘扎实，方向盘指向精准，过弯很有自信。纯油模式百公里12个油左右，混动模式油耗5-6之间，如果每天充电，在城区内几乎可以纯电驱动，绿色环保。四星半，21寸轮毂稍硬，跑车调校底盘适合在平整路面行驶。外形全五星，同价位车型里第一，保时捷最完美的轿跑型房车。内饰五星，同价位车型里无对手，对得起百万级别车。同价位里无二的选择，外形酷动力和底盘对得起这个价位该有的表现，选配的21寸轮毂舒适性稍差，胎噪和路面过滤相比同级别其他车型稍逊色，PDK变速箱在速度大于60公里/小时才是真正体现保时捷工程师对这辆车的完美调校，整体评价：值得入手。。看中保时捷品牌和panamera的外形和混动总输出430匹马力，同时现在油混和纯电是未来的趋势。,510,1,Panamera新能源,上海?,20 ,48,5,45,5,27,5,50,4,27,4,27,5,23,5,115,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9,8735,13,6840,2,28,103,165,1
522,6230693,保时捷pamamera4e用车感受,17,可插电油混！可以省，可以浪，可以转移能量，平时把多余的力气存储起来，在必要的时候一起用出来！起到这样一个作用，弹射的时候是真的猛！空间也足，变速箱pdk，综合了卡宴和911的优势，虽然空间没卡宴能装，性能没911灵活，但是综合起来却很强！开卡宴总觉得像开船，容易睡觉，在马路上开卡宴到处被其他车插队，被其他车无视，开911别人就谦让很多，911油门也随叫随到，还是pdk的优势！。对这辆车比较宽容，没什么大的不满意！真的要说就是用油充电的时候声音大，sport plus的时候声浪不好听，有些吵！然后就是选配的不够完美，买的选配好的期车！。空间宽敞，行政版，后面屏幕可以控制副驾驶座椅，行政用车，但是是4座有点尴尬，偶尔挤个人还要考虑交警叔叔会不会逮到！。动力要分两个，首先是纯电模式，日常通勤的主要模式，配合充电桩，超级经济实惠，动力马马虎虎，关键是踩深了直接发动机介入，也不知道它纯电到底有多快！然后是性能模式，sport plus，弹射，自己有911，自然吸气的，没有这个涡轮增压加电机助力来得猛烈，最大G值1.13，911好像只有0.9左右吧，弹射初期很猛，中后期就比较平凡了！。操控方面，方向盘转向不虚，动力强，但是毕竟身体长转向倒车的时候感觉到是行政车，其他时候感觉不出来！对比卡宴这操控秒杀卡宴，对比911的话直线0-100加速可能差不多，100以后可能911快一些，但是高速转弯或者变道什么的还是911强一点！。充电省油，sport plus用油也是厉害的！4S免费充电！要密码，滨江密码1000油耗电耗。挺好的，安静，轮毂19寸，舒适性增加。外观漂亮，尾翼亮点，尾翼开关用屏幕控制，大灯也漂亮，车身比例协调，轮毂没选好的，看上去差了点钱，接下来标配20了，而且能选抬头显示了！更新好快四眼灯尾翼翘起尾翼。选了真皮，细腻，有氛围灯，配置高，挺好！本来买了后座娱乐系统的平板16500，但是说没有选预留系统无法安装无法激活，只能放弃！改成贴膜加行车记录仪加彩标！中控漂亮大屏幕亮点。相比起来性价比高，油混行政赠送的东西多！sport chorn，全景天窗，后座空调都是赠送的！期待选装柏林和后座娱乐，这两大件很强！。中意过特斯拉（内饰接受不了，还有充电方面可能没那么便利），奔驰cls（2.0t，80多万，坐进去空间也不大），雷克萨斯ls，（低调，老妈不喜欢再开雷克萨斯）lc，（新潮，不易接受）,1005,1,Panamera新能源,杭州?,42 ,57,4,190,5,119,4,46,3,18,5,80,5,86,5,66,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,39,80178,45,24710,1,22,205,129,1
