空间评论,空间评分,动力评论,动力评分,操控评论,操控评分,能耗评论,能耗评分,舒适性评论,舒适性评分,外观评论,外观评分,内饰评论,内饰评分,性价比评论,性价比评分
头顶空间太局促了，也是最不满意的。我179的身高，不知道有没有179以上的人挑这款车，哈哈。??其他都还好。后备厢容积：后备厢够用。乘坐空间：头部空间严重不够，特别驾驶情况下我179。我座椅要调很低，所以我很疑问有180的人买这车吗。,3,3.5排量只要油门他都有，缺点有顿挫，但也是习惯了，16的卡罗拉双擎也是这样。这车在90以上动力无穷……??因为我经常跑高速，很适合。跑高速：这车跑高速非常适合的。省油，90以上动力源源不断。,4,试过7系的方向盘比ls好，但是同价位的动力ls好。,4,油耗是这将车的精髓啦。满分。特别是混合动力。,5,座椅舒适100分。皮质用料同价位的秒杀任何车，不接受反驳。隔音我觉的不够好。空调就不用说了，日本车的空调很给力。,4,% buffered00:00/00:12倍速高清当初最早选这辆车就是外观。66666666666666,5,% buffered00:00/00:14倍速高清内饰100分，真的是一份东方美。内饰非常美，不管是白天还是夜晚。,5,% buffered00:00/00:15倍速高清性价比不谈。保养以及服务雷车是很好的。没问题,5
空间方面比较满意，虽然对比其他同价位的d级因为没有长轴版的原因会稍微小一些，但是行政版副驾驶可以收起来就没什么问题了，后排中控扶手可以收起来，临时要坐5人也没有问题，这个比较满意。,5,动力方面因为现在大陆没有v8版本了，确实是弱鸡了很多，但是这车也就是冲着舒适去的，现在的动力平时一直开着舒适模式也很满意了。,4,对于一台5米多长的车，感觉操控到位了，标轴相对加长版的车好处就体现出来了，超车也很轻松，感觉和原来的es350差不多,5,混动的油耗没得说，一直开着舒适模式，偶尔开开运动+，基本稳定在8.5个油,5,除了防爆胎带来的胎噪，这车的舒适性真的非常满意，4个座位都带按摩是比较实用。发动机介入的时候声音有点突然，车也会猛抖一下，不太习惯。,4,雷克萨斯的设计一直都感觉很超前，即使过个10来年依旧不会落伍做工车漆：放弃以往一直买黑色的车，选了宝石蓝，这绝对是最正确的选择,5,凌光切子板是最满意的，只是只有红色座椅和黑色可以选感觉不是很好，但是现在开了一段时间，红色也看顺眼了感觉也还行,4,性价比还是非常高的，很满意。相对于宝马奔驰的d级车现在感觉满大街都是，ls有一定的差异化，小众未必就差，自己喜欢就行。就是这个价格4s店什么东西都没送，还有保养的政策也比以前买es的时候差了很多，感觉售后这方面实在不是很满意。闲置期保养举措：1.保养说是免费，但是到了那边被告知换机油半合成免费，全合成要加370元这个就很失望，第一次感觉雷克萨斯这个品牌的售后很差。2.还有轮胎没有备胎，经历过一次高速爆胎后，4s到处找不到原规格的备胎，告知订货要10天，但是我通过自己的方式第二天就弄到了原规格的轮胎，而且提供轮胎的人告诉我，这轮胎是雷克萨斯垄断的，只供4s店！鸡肋配置：车机系统比较落后，这个价位连个carplay都没有，只能手机连接蓝牙。总结：这次的购车对车非常满意，但不知道是4s店的问题还是品牌方的问题，对于售后非常失望，这个售后服务完全配不上这台车的价格。本来下一台车还想再买雷克萨斯，但是现在我不得不认真考虑再对比一下，它好像已经不是我原来认识的那个以服务为第一位的凌志了。,4
空间还可以，尤其是顶配的后排ottoman座椅，把前排放到底再半躺下来空间太大了,4,动力其实一般般，没有那么快也没有那么慢，可能是平时特斯拉开多了，啥车都觉得肉,3,太大了，5.2米的车身，操控就不谈了，适合司机开,3,这个妥妥的同级第一，比很多B级车还低，一箱油可以续航1200公里,5,直接坐的感受，，，，不如Es，经过好几天的研究和争论，发现因为填充物没Es多，因为填充物放多了按摩通风功能就体验不到了，真是鱼和熊掌不可兼得。不过隔音滤振那是无敌的，如果把原厂防爆胎换成静音胎那隔音真是太好了,4,外观比较激进，可能很多人不喜欢，我觉得还好,4,内饰用料是同级最好的，不服请发同级用全苯胺皮的车出来。,5,个人感觉性价比是BBAL里面排第二的，a8上来就七八折妥妥的性价比第一,5
后备箱不是很大，轿厢还是足够宽敞的，中间的扶手箱也够大够宽敞，就是没有无线充电，稍显遗憾,5,动力还是够用的，我一般都是normal挡位，城市里开的话足够了，不会特别想去超车发动机介入：点击工作时候的嗡嗡声还是可以接受的，但是需要给电池充电的时候，你会明显感觉到发动机的介入带来的车辆抖动，轰的一下，不过习惯了就好了,4,方向盘很轻很灵活，指向也很准，没感觉到虚位，就是空气悬架没有升起来的时候底盘太低，我上地下室的坡道，开得稍微快了一点就把前唇给刮断了，我猜想材料应该是PC的，但是看着碎裂的塑料片，应该不是的，现在就把悬架升到Hi状态,5,虽然是油电混合，但油耗没有像网友说的可以开1200公里，可能他们看的是加满油以后的电脑推算理论值，实际开的话一箱油只有800公里这样（市区，养生型驾驶）,5,这个还可以，用电的时候挺安静的，发动机介入的时候的噪音还是很明显空调：制冷很快，28度就够对付整个夏天了，因为触控板调用很麻烦，几乎就是用auto键加上温控滚轮,5,个人觉得现款的外观还是不错的，小改款的照片网上已经很多了，设计也很出色，感觉很耐看，前灯和保险杠的新设计让车头看起来很偏平，特别有层次，颇有跑车的感觉。尾灯处理也更和谐了，但是我不想等了，以后再换吧,5,"大家不着急的话，还是等新款触摸屏吧，有carplay,你一定不会后悔。说实话现在的这套人机交换让我提不起兴趣去触碰她",4,现在优惠挺大，是我不想等改款的主要原因，毕竟等国内到货至少大半年吧，而且优惠到达到现在的水平估计还得几个月,5
后排空间比宝马小一些但是个不高的我也够用啦 后排确实比同级小些,4,动力比之前250以及300h比提升很大 本人也没开过什么运动型车 推背还是很强啦 尤其S＋模式 还有声浪加持感觉很澎湃 不过很多车友说这款的声浪是模拟的具体不清楚~,5,没太大感觉 大几十的速度过弯时比之前18寸脚丫的车会更自信点 不飘 。高速最高到160 170很稳，之前13款250高速160过个大车直晃,4,一直徘徊十左右 之前250在十一左右300h六个左右 正常六缸级别里算低的吧没什么好说的，不过有很多开到八左右的不知道怎么开的,5,没太大感觉不过因为没有试驾体验过按摩功能之前期望过高发现实际上这个功能只会一个动作就是按摩仿生凸点只会升起降下比较生硬吧...,4,大致每个轿车款雷萨前脸都差不多 纺锤形家族式，LS只是尾部有辨识度 乍看es差不多,5,凌光切子鹤羽折布 但是不是很喜欢黑色座椅 现车只有一台没得选..,4,这就不说了吧 同级别选择有很多 见仁见智吧 就这么多～,3
% buffered00:00/00:05倍速高清空间一般，尤其是后排竟然不带电动调节和天窗,3,加速有延迟，但考虑到混合动力，可以接受。低速无噪音。,4,操控还有待提升，整体操控比较轻松，走家庭舒适风格,4,估计7.5到8左右吧，没开多少还有待考证。,5,比较舒适，毕竟是日本生产的高级轿车，很有日系风格。悬架减震舒适性：空气悬架带来的效果比较明显，，尤其是通过训练减速带时。,4,个人认为很有看点，凸显东方人低调之美，其实比起奔驰S，它差不了多少。,5,% buffered00:00/00:06倍速高清做过还可以，座椅没有7系舒服，但跟奔驰差不多，不得不说宝马的7系改款车型座椅真的很舒服，远超同级的奔驰。,5,考虑到后期费用，毕竟有8年20万公里免费保养。性价比很高,5
后排空间只能说刚好够用，还没有ES的后排空间大,4,提速感觉还满意但是加速的时候有顿挫感,4,悬挂感觉有些硬,4,加满一箱油一千公里跑下来没问题还有剩的,5,悬架过滤感觉不是那么好，特别过减速带感觉硬,4,外观看着挺有运动感,5,个人觉得没有奔驰的好多媒体车机：人机操作不方便特别开车的时候，车机系统没有映射功能，其他品牌跟ＬＳ同竟品的车都是标配手机映射功能的,4,性价比的话只能说还可以期待的配置：有映射功能比如carlife和CarPlay，希望厂家能考虑帮我们20款车主解决这个问题,4
因为家用多点，商务也够用。内饰简洁，不花哨。像我的菜 还是很 喜欢。像自己开的车。 德系车的内饰我也喜欢，很司机车。 可惜我不是后座买家,5,我在市区猛加了下油门，这动力与我的5.0T路虎差不多,5,没得说，操控没得说。是我开过所有D级车里最好的,5,我在郊区的地方开，速度在60左右。有红绿灯。 车上四大一小的情况，加空调能达到6.2.我的脚好厉害，车也厉害。 一般我的油门比较凶的情况下，也能达到10. 要是其他车。油耗至少要18了,5,舒适性就是我买这车的理由。 最终不是天天开跑车。 腰不好啊,5,新车的造型低矮，D级车最像轿跑了。新车设计很用心,5,内饰比较像我的911，很运动。很简单....我的911也是黑色的，仪表台也很低矮。,5,3.5的排量，关税 没有优势。所以这样的价格个人觉得还行吧。,5
空间在d级车里偏小，车顶略矮，后备箱小，只能说够用。,4,动力充沛，发动机和电机切换平顺，高速源源不绝动力。,5,操控还可以，acc辅助驾驶，雷达摄像头都有，比较轻松。,4,高速油耗7.5市区11。一箱油表显示1200多公里。对比以前开的大排量越野来说已是非常惊喜。,5,空气悬架调的自动升降，座椅厚实贴身。非常舒服。,5,感觉有点轿跑的样子，造型比较年轻运动，在老婆怂恿下来了个红色。,4,做工精致，非常喜欢古筝造型中控台，看的到，摸得到的地方基本都是皮包裹。,5,性价比很高，油耗低，保养不要钱，加送了一年质保，听销售说售后只要换轮胎，和车损险。,5
前排很大 后排 就像航空仓 可以全方位调节,5,前期电机起步，动力没话说 随叫随到的动力 毕竟3.5v6的机子,5,方向盘柔和 质感很好 变为运动模式 会有些紧硬 让你非常有驾驶感,5,油耗目前 10.5左右 已经很好了,4,座椅全方位调节 真的很nice 你要的姿势他都有,5,霸气的 家族设计，矩阵灯组，犀利的外面,5,就冲着 他内饰做工来的 上个es做工都非常好 全部真丝皮缝线，凌光切子，鹤羽折布 只有顶配才有,5,你要的功能他都有，具体跟A8 7系比上次各有千秋，看你怎么选择了 ，,4
后背箱比较小 装不了多少东西，后座还算舒适,4,加速有点肉，尤其是超车的时候感觉动力总是迟到一秒,3,指向精准随心所欲驾驶起来比较舒适，不需要请司机,5,毕竟3.5的发动机只要8个油 让我有点小惊喜,5,座椅不是吹的比S那叫一个差别啊 按摩力度也有，好评,5,外观一般般吧 只是前脸让我太喜欢了大爱！,4,灵光茄子是亮点羽翼折布是鸡肋别的都还算能接受,4,关键是性价比值得老百姓参考！除了品牌我在乎的是质量,5
空间是不太大，相比BBA，对我来说够了 基本一个人开，座椅厚也是空间嫌小的一大因素。对我来说意思不大,4,动力足够了，RX200T我都能开三年，可见我对动力要求并不高，加速足够声音很动听,4,操控很不错，是一台适合自驾的D级车，这一代新平台重心低。底盘硬朗了很多，不是上一代忽忽悠悠的存在。,5,油耗挺满意的，虽然和群里不少混动车主没法比但是3.5V6 评价11个油相当满意 高速七个点 市区13，4，虽然不低但是两顿多的车，我觉得很不错了,5,舒适方面除了低速大的顿挫略有遗憾其他表现符合D级车的该有的样子。还有就是防爆胎噪音有点大，群里不少人买了直接换米其林非防爆胎，说是噪音大幅降低质感提升明显，但是由于继承了妈妈抠门的优良传统和本着不浪费物资的美德还是算了吧（主要还是不舍得??）不然我也想试一试。,4,外观就不说了，颜值担当，谁让我是颜控呢。就是因为这个造型迷住了双眼,5,内饰堪称完美，虽然不是S那种洗头房风格，就是这种精致的典雅让你坐里面很舒心,5,由于买的试驾车，就是二手了。这个价格这个配置很满意。就算是新车价格我觉得只要你认可它，性价比也是满满的，这个配置秒杀S500以下各种配置，内饰质感方面我觉得当然是个人看法，是对德系D级车用料的全面碾压。还有这个卡片钥匙，夏天到了真的很方便。,5
前排空间，后排空蛮宽敞的，基本足够用，后备箱这个级别的我觉得有点小了。空间设计亮点：安全带插口都带灯光指引，前排桌椅边都放了填充，这样东西不容易掉下去，细节考虑很周到。,4,起步不理想，后劲动力足够了故障-动力系统：动力随叫随到，高速上基本上舍得给油门，99%的车没有超不了的。发动机介入：慢速电动行驶时切换发动机动力时反应有点大。发动机动力形式时切换电力感觉突然一下降速失去动力了，一开始开真不习惯。,4,刹车表现：速度在80码以上刹车偏软，开始非常的不习惯。时间长了，适应了就还好了。主要是驾驶习惯问题。方向盘操控感：刚启动的时候电力行驶状态下偏重。发动机介入后会好很多。,4,油耗相比同排量，同级别的车，你就不要管什么样的驾驶习惯？怎么任性怎么来，只要不是跟车有仇的人，上去就地板油的，而且不需要黄金右脚的水平，这个排量和车自重的的情况下，你称第二，第一的位置就在那空着。高速上平均油耗就这个差不多这个是运动模式的，在高速上跑了大概50公里左右吧。现在行驶了10001公里了，基本上各项都稳定了。开空调油耗：开空调和不开空调感觉油耗没有多大影响。行驶下来感觉来去不大。,5,静音效果非常好，尤其是刚启动和速度慢的时候电动模式下，基本无声。发动机介入时感觉还是有的。座椅通风：座椅通风还是非常适用的，尤其是夏天那冷风从下而来的感觉还是很爽的。空调：日系车的空调很给力的，外面温度38度，基本上车内温度调到26或27度就很舒适了。,5,日间行车灯晚上前大灯效果晚上屁屁效果，还性感？？？车灯设计：日间行车灯，流水转向灯，尤其是自动头灯用起来非常爽外观感受：年轻激进，时尚现代。设计比较年轻华，犀利中透着稳重，外秀内钢。,5,中控设计新颖，时尚，简洁。尤其是那貌似古筝的金属色线条设计特别有立体感。大屏幕也不错。就是仪表盘感觉有点小。变速杆手感很好。触摸板用起来不习惯，感觉还是旋钮的比较好操作。故障-内饰：这个车使用到现在唯一不满意的地方是‘行人保护装置反应太灵敏’一次一不小心一个刮蹭，车也没事，对方也没事，但是车辆内部的行人保护装置的四个顶杆启动，直接维修费花了近60000块，虽然走的是保险，但是想想还是心疼啊！,4,保养维护：这个车使用到现在唯一不满意的地方是‘行人保护装置反应太灵敏’一次一不小心一个刮蹭，车也没事，对方也没事，但是车辆内部的行人保护装置的四个顶杆启动，直接维修费花了近60000块，虽然走的是保险，但是想想还是心疼啊！,3
前排肯定是没问题；至于后排，其实不算小，但是真达不到D级车的水平，跟5系差不多吧。不过我的前排一般都没人，把前排座椅往前调，我也可以升起腿托来个葛优躺。所以，这是小问题。,4,D级车的动力，不用抱太高的期望，没必要吧，反正正常行驶和超车都够用就行了。,4,作为D级车，这操控我给满分。底盘软硬正好，拐弯时支撑也不错，方向盘和底盘的回馈说不出来的自然，行云流水。这车坐着舒服，开着也是真的挺爽。,5,没仔细看，长期油耗应该不超过10，反正加油站去的挺少的，很满意了。,5,以前觉得迈巴赫的座椅很舒服，现在我觉得LS的座椅更舒服；车内噪音也小，非常安静；空气悬挂过滤的也很好。,5,车身大气优雅，线条灵动优美，设计感强烈而又不显浮夸，真正的艺术品级别。设计上，唯一差点火候的可能就是尾灯了。车灯设计：大赞，以前不太喜欢雷车的这个纺锤前脸，但是在LS上面，这个大灯加纺锤前脸的视觉冲击感太强烈，细看也很有质感。,5,东方古典、艺术品级别，太喜欢，词穷！多媒体：音响不那么喜欢，在这个车里我想听一些比较柔和的轻音乐，但是这个音响居然适合听摇滚，适合那些节奏感强烈的音乐，气质不太搭配？？？ 坐在后排放一张蓝光盘，看完一场电影之后才发现，这个音响更适合看电影，那种环绕音效得以完全释放。 简单说，看电影我给100分，听音乐我给80分。内饰材质：内饰的质感很棒，用料和细节比之一些超豪品牌都差不多了。内饰设计风格：现代美学设计和古典东方韵味完美融合，越级吊打！内饰配置：该有的配置都有，四个座椅按摩、加热、通风，HUD抬头显示，一大堆要的不要的都给你了。,5,只需花100w，得到这么一辆艺术品级别的完美座驾，性价比不要太高了吧。保养维护：6年15万公里免费保养，雨刮器都给你换，真正的免费保养。之前有辆q7说是送三年免费保养，结果是，每次保养照样要话费两千左右，呵呵了。,5
"我180,160斤，前排驾驶位空间是不错的，但是后排和其他同级别车就确实没法比，而且卓越版相当于乞丐版，后排也是乞丐配置。放行李：后尾箱就真的太小了，车子虽然接近5.3米，但是后尾箱有电池占据了大部分空间，目测放不下3个正常规格的旅行箱或2个大旅行箱（听说新款ES已经把电池改了不放后尾箱了，有待证实）",4,动力够用，但是混合动力没有很平顺，毕竟中间发动机会介入；也可能我一直都是开节能模式，还没有试过SPORT等模式，如果是一直用发动机可能会有另一种感觉。s模式,4,方向盘手感不错但是调校的电助力还是有点重？全系都有运动拨片但是用的比较少。车身太长，城市里面不太好找车位，特别是罗湖福田一些小停车场，开车10分钟，停车1小时。底盘及悬架：全系配备空气悬挂确实是好东西，下车自动升到最高有一半SUV下车的感觉，比较舒适；但是听说空气悬挂对环境要求挺高，后期比较难保养？,4,现在城市道路开了不到400公里，第一桶油，油耗是10.4，听说还能降下来一点；油箱是90升的，95以上的油即可。,5,悬挂适中，座椅包裹感强，冷气及座椅通风感觉舒适，整体驾驶员的感觉舒适；卓越版后排的感觉应该一般，没啥特别，而且高度不足；唯一优点就是车身长，放脚的空间比较宽敞。可能豪华行政版后排又会有另一种感受，毕竟可以调节角度及脚托。卓越副座的感受还不错，有加热有通风等基本调节功能。,5,外观估计是全新Ls的最大亮点，全新设计就不用多说了，霸气低调奢华回头率高，落地就贴了隐形车衣，再也不怕小石子小划痕，听说小划痕热水可以自动修复，不知道值不值这个价格，拭目以待。,5,中控台也是全新设计，各种新闻已经描述的很精彩了，文字有限，依个人喜好，反正我是很喜欢这种拉长的设计，唯一遗憾可能是仪表盘不够奥迪科技感，不够奔驰豪气感，一眼过去就是日本人的那种小家子气。多媒体我用起来是相当顺手的，看到部分车主说很不方便，我觉得还可以，需要的功能都有齐备，可惜卓越没有马克莱文森，听说这套音响都值10w，以后打算自己升级。多媒体支持安卓的mir投屏（类似苹果的airdrop，只支持安卓投屏）、aux、前排扶手箱2个usb口，2个12v120w口，，媒体系统支持播放无损音乐，具体文件格式说明书很清楚。可惜茶杯座位置太小了，连零钱都没位置放，得统统塞到巨型扶手箱，要停车费过路费就不太方便了，虽然现在都是电子支付。多媒体车机：我看大部分车主没有介绍它的gbook交互功能和紧急援助、还有语音功能（类似苹果的siri），简单介绍一下摸索还不够透彻，1、天窗按钮位置有一个紧急报警功能，长按随时拨通雷的客服，帮你订酒店、机票、查地址甚至报警。2、传说中的e club服务，是要收费的，但是我的默认到2024年的服务期，也就是说一直都可以免费使用这个人工交互功能。你用车载导航不想自己打字你可以打个电话告诉客服你想去哪，她帮你搜索然后推送到你系统来（有点像114专线，比较鸡肋）。3、手机下载app登陆可以看到车的位置，我称它为半智能，因为只能远程锁车、解除双闪。不能远程开车，开冷气……有点鸡肋呗，连比亚迪都能手机控制车移动。偶尔忘记锁车了，gbook会给你发短信提醒你有异常，你手机操作一下就可以锁上了。4、语音功能还没有尝试更多，蓝牙连接iphone后，方向盘有个语音健，按住就能开启，蓝牙连了iphone还能联动siri，支持粤语，还没尝试太多，可以直接打给谁，导航回家（暂时没试过语音搜索去指定位置的识别度）语音功能，功能挺多，支持粤语，反应比较快，识别度挺高,5,由于我是搞活动，又恰好贸易战之前交定金，贸易战降税之后交尾款，所以价格应该是这两个月能做到最优惠的价格了（深圳落地所有费用96不到），性价比还是相当高的，其他不多说，改天天气好开出去拍拍照，以后有钱再换大脚，升级音响，不过原配防爆胎还是很适合家用的，后排的话坐人不多。如果对音响要求极高，要求后排舒适，要求按摩座椅的，可以直接加13万上豪华版。卓越班的先锋喇叭确实不行，和30 50万的车差不多,4
空间感觉够用毕竟5米2的车长，后排就是不能翘二郎腿。,4,动力表现优秀，超车毫无压力，加速很顺畅，无卡顿,5,操控感觉很棒，方向盘很轻，空气悬挂，过弯不会感觉侧倾,5,刚提车十个点左右油耗，82升油箱，跑高速应该会更低。,5,舒适性特别棒，座椅22项调节开车，配有按摩通风加热，感觉超级舒服,5,外观同级别车型里最好看的，犀利的前脸设计，就是尾灯设计稍显逊色，贴车衣的时候，师傅说凌志的油漆用的是最好的，比劳斯莱斯还好。,5,内饰没话说，非常符合东方人的审美，按钮的回馈感觉非常好，最重要的是马克音响，听了简直是享受，23个喇叭，是我听过最好的音响，感觉买这车值了。,5,落地98万，优惠十几万，性价比不错，没有卖不出去的车，只有卖不出去的价格,5
空间应该是是正正好好，但谈不上奢侈，后排座椅往前滑下后真的很舒服，完美诠释舒适不一定就是空间大。小腿，大腿，屁股，腰，背，肩，脑袋，没一点都支撑的很到位很均匀那种舒适。,4,动力还行吧，看和谁比了，总体不是太强，要3.5双涡轮那款就好了，但怎么说也有百公里5.4的加速，而且这么大的车，老百姓开开够用了。,3,感觉开起来比7，S，有意思多了，模式比较多，座椅包裹性，可调性太强。S模式有模拟声浪，还有降档补油。过弯一脚重刹，转速会轰高，方便出弯加速。虽然我上面说动力不是太强，但也挺强咯。,4,油耗绝对是加分项，真的还省油。,5,双层玻璃，安静，整体非常非常扎实，空气避震晃晃悠悠的，但又没S那么晃。混动切换，发动机启停链接非常顺畅。但换挡有时能感觉到，当你在驾驶位时。,4,一个字，帅，有特点，感觉不容易过时，不容易被新款淹没。,5,还是帅，细节的地方太能体现品质了，好比调节音量的旋钮，无法描述，但当你旋转它是，能感受到那种阻尼，此处我只会说有质感了。还有安全带插槽，带灯光，自己升降。还有全车的真皮，奢揉苯胺真皮，真的很赞。,5,刚买就官降10万，给谁肯定都不乐意，但是又有什么办法呢。还有加价呢，所以性价比无从谈起。手机里没什么图片，下次空了再拍吧，大家凑活看，实在不行脑补。,5
空间特满意，我身高180cm完全没压抑感，后排更是宽敞，方便了孙子孙女玩耍。后备箱完全够用，我平常都是装些礼品、个人用品等等。空间设计亮点：操控台流线、布局很符合我和太太的审美，扶手盒宽大舒适，座椅用料上乘，腰部支撑舒适，长途不累，搭配合理，完美超过卡宴、宝马、奔驰的内饰。家人乘坐评价：我太太用的是奔驰，总是夸赞这款车的舒适性，但对她来讲太大个了。孙子孙女总是抢着坐这部车。,5,提速超好，强烈的推背感，高速跑180很稳，玻璃的减速性能很好，隔音很棒，感觉比朋友的帕拉梅拉安静。,5,HOLD功能不如奔驰的实用，每次着车后都要设置。启停功能能永久关闭最好，没意义的设置感觉。,4,两吨多的车，11.6的平均油耗，比我太太的3.0奔驰省油。,5,发动机声音超好，行驶噪音极低，与用材良心有关系。,5,车轮毂配合的很大气！,5,用料和工艺改变了我对日系车的不良看法。,5,买车后关税下降损失了不少银子。,4
后排空间足够，如果家里不是1米8的个子，后排够用家人乘坐评价：女儿尤其喜欢做后座，一上车就打开后排座椅按摩和电视机，开始看她喜欢的动画片,4,动力还是很满足的，354匹，新款ECVT变速箱 4AT可模拟十速档位，带来的加速感非常凌厉，急加速有推背感跑高速：跑高速特别舒服，双层隔音玻璃基本可以隔绝一切胎噪和风噪，即使开到160码，车厢内依然能随意交谈,5,这一代的LS用的是全新的GA-L的底盘，带来的操控感不言而喻，过弯的极限甚至比GS还高，对于一辆长5.2米的大型房车来说，难能可贵，方向精准，有指哪打哪的感觉,5,油耗平均在12.5左右，可能我市区开的比较多，且多数是短途行驶，跑长途的话8.5，相当的省油，一箱油加满82L，大约可以跑800-850KM,4,舒适性自然不用说，苯胺高级真皮 全车四座全带加热，通风和按摩功能，前排28向电动调节，后排18向电动调节带背部加热的仿指压按摩功能，副驾驶后面的老板座能平躺,5,这一代的外观非常年轻化，纺锤形格栅越做越大了，我个人比较喜欢这种设计，全车镀铬材质比较多,5,内饰温馨居家，我的是激光玛瑙 木纹的搭配，沙陀金的座椅，个人非常喜欢,5,相比老款600HL高达238万的售价，现款LS500H最高119的售价无疑便宜了许多，也正因为这样，这一代LS才算是走量的车型,5
够用而已，跟主流D级车相比有差距,4,加速时候，电机发动机同时发力，不错。,5,手感轻，操控不错，不会感觉车子很大。真皮方向盘，手感不错。自适应巡航很智能，配合车道主动控制系统，在高速上面松开油门、刹车，方向盘，自己跑?几公里。,5,目前行驶1500公里，油耗9.5.不错。,5,对震动过滤不错，悬挂偏软。Sport模式。驾驶感受：纯电动起步时，会有轻微电流声，?刺耳，可以接受。发动机、电动机切换非常频繁，切换时感受不到。,5,轿跑外观，设计很满意,5,内饰用料很好，但黑色非常非常不耐脏。按键触感无敌，日本的工匠品质无可挑剔，?适合我这种强迫症患者。,4,性价比不错，选择不后悔,5
前排空间特别满意，开坐都很舒服，后排局促，空间有待提升。车内储物能力：特别差，能装东西的地方太少了，甚至还不如ES,3,不够狂暴，家用足够，兼顾一定的驾驭感和十足的舒适性，已经很不错了,4,跟suv比好很多，跟宝马比差不少，但是结合乘坐感受可以给满分,5,油电混合的车，油耗会有不满意的吗,5,不是为了舒服怎么会买这个，看着舒服，开着也舒服,5,好看，选的至尊灰，大气,5,跟顶配车型比差点，卓越版可选颜色也太少了，最喜欢的酒红色选不了是个遗憾，但单看每一种都还不错。,4,为了提升面子可能需要多费口舌，这车就是自己和家人喜欢就好。适合不需要一辆车来彰显地位的人使用，低调奢华有内涵。,4
空间只是够用而己,4,加速反应稍有迟缓,3,中规中矩，毕竟不是运动类轿跑。,4,在接受范围内。,4,表现很棒。如果S级是一种商务的豪华，那LS就是一种给你在家中享受极致的豪华。,4,除了尾部别的都很棒。正脸、侧身可以说是做到了让人一见钟情的感觉，唯一遗憾的是车尾太平庸，让我产生了是日产天籁的错觉。车灯一点不比奥迪A8逊色。,4,非常有质感，个人觉得是D级车里面唯一可以和S级比拼不落下风的。,5,预算130万以内，D级车里算是良心价。,4
大，特别是后面的老板座椅，和头等舱一样,5,5.0V8 + 电动 ，动力绝对没得说。,5,盘子很轻,4,低 大概和2.0-2.5的差不多,5,超级好，不适合运动。,5,我反正喜欢,5,做工精细,5,相比 BBA 我认为高,5
空间大很满意,5,很猛，动力还是不错的 满满一,5,操控一般，毕竟车子大，不是讲究运动的车子,5,省，相对这个级别的应该很省了,5,顶级的,5,大气，感觉上比7系和S级有档次,5,顶级奢华，做工十分细腻高级,5,价格稍微有点高，但是总体来说还是值得，车子开起来很省心啊,5
乘坐空间：我175，前排开车很舒服，头部空间一拳左右，后排空间大的离谱，翘个二郎腿完全不是问题，躺着都行了乘坐空间：我175，前排开车很舒服，头部空间一拳左右，后排空间大的离谱，翘个二郎腿完全不是问题，躺着都行了,5,加速表现：中途加速凌厉，150以后都深不可测，平时轻踩油门3000转足够加速表现：中途加速凌厉，150以后都深不可测，平时轻踩油门3000转足够,5,底盘及悬架：地盘可硬可软，舒适性与运动性可以兼得，舒适模式和运动模式相得益彰底盘及悬架：地盘可硬可软，舒适性与运动性可以兼得，舒适模式和运动模式相得益彰,4,城市路段表现：城市用车油耗较高，红绿灯多，走走停停最耗油，平均速度慢城市路段表现：城市用车油耗较高，红绿灯多，走走停停最耗油，平均速度慢,4,座椅舒适性：座椅柔软舒适，半苯胺的皮质犹如婴儿般的皮肤座椅舒适性：座椅柔软舒适，半苯胺的皮质犹如婴儿般的皮肤,5,做工车漆：做工比较考究，漆水的颜色很亮，可惜后尾箱缝隙太大，有失豪华车的做工做工车漆：做工比较考究，漆水的颜色很亮，可惜后尾箱缝隙太大，有失豪华车的做工,5,手感材质：内饰整洁，清爽，比较符合东方人的审美观点手感材质：内饰整洁，清爽，比较符合东方人的审美观点,5,标配配置：性价比非常一般，新车价格太高，配置一般，想要买到高配置的得要到180万的四驱版本标配配置：性价比非常一般，新车价格太高，配置一般，想要买到高配置的得要到180万的四驱版本,3
L加长版的 大小和其他的D级车一样。可以翘二郎腿没有什么问题。空间到这个份上,4,V8.388匹马力 动力能差到哪里去？，而且动力加速十分平顺，温柔中带着暴躁。怠速超级稳 安静。在一条好路上，你开一般的车子 平时是60码，感觉很快了。但是雷克萨斯你不知不觉的开到80码。你脑子和感受还在停留60码。润物无声是总结雷克萨斯的动力最好的表达。我相比较下宝马七系 直列六缸3.0L动力逊色了许多。,4,D级车要啥操控？这个不谈。,4,4.6.虽说世界上第一台8AT的变速箱的雷克萨斯 是为了做到最低的油耗。说句实话。油耗相对于我们这个平民百姓来说 还是太高了。,2,在D级车上 雷克萨斯敢说第二 没车敢说第一。我有过很直观的对比。我从高速上坐宝马七系下来，坐进入门轿车的ES 感觉完全是两种感受。ES都做到了比宝马还要舒适的程度 更何况旗舰车型 LS？,5,仁者见仁 智者见智。,5,和其他的D级车 各有千秋吧。我最喜欢的就是LS的变速箱，换挡的感觉太爽了。但是有一点 最起码比宝马还要好看。,5,性价比不高，是因为国家的政策税率吧。,3
0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5
